list_date,ticker
2025-11-28,5205
2025-11-28,5207
2025-11-28,5208
2025-11-28,5209
2025-11-28,5210
2025-11-28,5211
2025-11-28,5216
2025-11-28,5218
2025-11-28,5219
2025-11-28,5220
2025-11-28,5223
2025-11-28,5225
2025-11-28,5226
2025-11-28,5236
2025-11-28,5238
2025-11-28,5239
2025-11-28,5242
2025-11-28,5243
2025-11-28,5246
2025-11-28,5247
2025-11-28,5248
2025-11-28,5249
2025-11-28,5252
2025-11-28,5253
2025-11-28,5255
2025-11-28,5257
2025-11-28,5258
2025-11-28,5259
2025-11-28,5260
2025-11-28,5263
2025-11-28,5264
2025-11-28,5267
2025-11-28,5271
2025-11-28,5272
2025-11-28,5273
2025-11-28,5276
2025-11-28,5277
2025-11-28,5285
2025-11-28,5286
2025-11-28,5288
2025-11-28,5289
2025-11-28,5291
2025-11-28,5292
2025-11-28,5293
2025-11-28,5296
2025-11-28,5297
2025-11-28,5298
2025-11-28,5301
2025-11-28,5302
2025-11-28,5303
2025-11-28,5305
2025-11-28,5306
2025-11-28,5308
2025-11-28,5309
2025-11-28,5310
2025-11-28,5313
2025-11-28,5315
2025-11-28,5316
2025-11-28,5317
2025-11-28,5318
2025-11-28,5319
2025-11-28,5321
2025-11-28,5322
2025-11-28,5323
2025-11-28,5328
2025-11-28,5330
2025-11-28,5331
2025-11-28,5332
2025-11-28,5335
2025-11-28,5336
2025-11-28,5337
2025-11-28,5340
2025-11-28,5347
2025-11-28,5371
2025-11-28,5398
2025-11-28,5401
2025-11-28,5436
2025-11-28,5533
2025-11-28,5576
2025-11-28,5592
2025-11-28,5622
2025-11-28,5649
2025-11-28,5657
2025-11-28,5673
2025-11-28,5681
2025-11-28,5703
2025-11-28,5738
2025-11-28,5789
2025-11-28,5797
2025-11-28,5827
2025-11-28,5843
2025-11-28,5878
2025-11-28,5916
2025-11-28,5932
2025-11-28,5983
2025-11-28,6012
2025-11-28,6033
2025-11-28,6041
2025-11-28,6076
2025-11-28,6114
2025-11-28,6139
2025-11-28,6173
2025-11-28,6181
2025-11-28,6211
2025-11-28,6262
2025-11-28,6351
2025-11-28,6378
2025-11-28,6432
2025-11-28,6491
2025-11-28,6521
2025-11-28,6556
2025-11-28,6599
2025-11-28,6602
2025-11-28,6637
2025-11-28,6718
2025-11-28,6769
2025-11-28,6807
2025-11-28,6815
2025-11-28,6874
2025-11-28,6888
2025-11-28,6912
2025-11-28,6939
2025-11-28,6947
2025-11-28,6963
2025-11-28,6971
2025-11-28,6998
2025-11-28,7003
2025-11-28,7004
2025-11-28,7005
2025-11-28,7007
2025-11-28,7010
2025-11-28,7013
2025-11-28,7014
2025-11-28,7016
2025-11-28,7017
2025-11-28,7018
2025-11-28,7020
2025-11-28,7022
2025-11-28,7025
2025-11-28,7028
2025-11-28,7029
2025-11-28,7031
2025-11-28,7033
2025-11-28,7034
2025-11-28,7035
2025-11-28,7036
2025-11-28,7047
2025-11-28,7050
2025-11-28,7052
2025-11-28,7053
