date,ticker,value
2021-07-05,7081.KL,5.0
2026-06-08,7081.KL,0.2
2017-09-08,7084.KL,1.3
2020-10-14,7084.KL,1.5
2024-09-17,7084.KL,1.5
2019-10-14,7087.KL,1.33333333
2022-06-30,7089.KL,3.0
2016-09-15,7091.KL,1.05
2017-05-05,7099.KL,1.05
2023-06-20,7103.KL,1.5
2025-02-10,7103.KL,2.0
2017-08-02,7105.KL,5.0
2019-01-03,7106.KL,2.0
2019-12-06,7106.KL,1.01538462
2020-09-04,7106.KL,2.0
2020-12-07,7106.KL,1.02222222
2021-12-17,7106.KL,1.03333333
2025-02-24,7106.KL,1.2
2018-10-24,7113.KL,2.0
2020-09-03,7113.KL,3.0
2022-01-03,7115.KL,3.0
2024-09-26,7121.KL,1.4
2021-09-03,7123.KL,0.1
2018-06-25,7133.KL,1.5
2016-11-10,7134.KL,1.04
2017-10-19,7134.KL,1.03571429
2023-07-18,7134.KL,1.01
2023-10-10,7134.KL,1.33333333
2018-12-10,7140.KL,1.5
2022-04-11,7145.KL,0.06666667
2024-02-20,7146.KL,0.1
2018-06-14,7148.KL,2.33333333
2021-09-06,7148.KL,1.33333333
2021-04-09,7149.KL,1.66666667
2022-01-13,7152.KL,2.0
2018-07-19,7153.KL,2.0
2020-10-09,7153.KL,2.0
2019-04-05,7154.KL,2.0
2021-04-21,7155.KL,1.25
2017-11-29,7160.KL,1.08
2019-06-26,7160.KL,1.5
2020-08-04,7160.KL,1.5
2018-02-23,7161.KL,2.2
2020-08-13,7161.KL,1.01
2021-06-09,7162.KL,1.02
2021-07-16,7162.KL,1.8
2016-09-14,7167.KL,2.0
2018-04-30,7172.KL,2.0
2022-04-27,7172.KL,5.0
2017-08-02,7174.KL,2.5
2020-08-05,7179.KL,0.04
2018-03-15,7180.KL,2.0
2021-06-04,7180.KL,3.0
2018-07-11,7186.KL,1.25
2025-05-02,7187.KL,2.0
2024-06-10,7195.KL,2.0
2025-04-07,7197.KL,3.0
2023-07-24,7198.KL,0.2
2017-11-13,7199.KL,1.1
2021-07-30,7202.KL,2.0
2023-05-10,7202.KL,1.5
2017-12-18,7207.KL,2.0
2023-10-27,7207.KL,1.025
2020-11-24,7208.KL,3.0
2021-09-06,7209.KL,3.0
2018-12-10,7210.KL,1.5
2021-06-16,7210.KL,2.0
2022-02-09,7211.KL,3.0
2024-06-10,7212.KL,0.1
2019-01-15,7214.KL,1.4
2019-02-22,7215.KL,1.08333333
2017-09-05,7216.KL,1.33333333
2021-11-05,7221.KL,2.0
2021-02-08,7225.KL,0.5
2017-09-11,7231.KL,1.5
2022-08-19,7232.KL,1.33333333
2018-11-27,7233.KL,1.5
2019-05-29,7233.KL,1.05
2020-08-03,7233.KL,2.0
2017-12-22,7234.KL,1.5
2017-06-05,7235.KL,2.0
2018-07-18,7237.KL,1.2
2020-02-06,7243.KL,0.1
2022-12-06,7243.KL,0.2
2018-05-14,7245.KL,1.33333333
2023-03-02,7245.KL,0.2
2020-12-10,7246.KL,1.04
2023-04-05,7246.KL,2.0
2017-07-25,7247.KL,1.33333333
2017-08-18,7248.KL,1.2
2020-09-22,7249.KL,1.0625
2025-04-04,7250.KL,1.33333333
2024-03-27,7252.KL,1.01492537
2024-12-11,7252.KL,2.0
2017-06-01,7285.KL,1.25
2022-04-12,7293.KL,2.0
2021-06-10,7412.KL,2.0
2023-01-06,7501.KL,2.6
2026-08-17,7501.KL,1.04
2025-10-24,7609.KL,2.0
2023-07-13,7757.KL,3.0
2020-10-19,7803.KL,3.0
2018-09-07,7889.KL,1.32
2021-03-22,7935.KL,4.0
2021-11-10,7943.KL,2.0
2024-11-08,7943.KL,0.5
2021-08-05,8044.KL,5.0
2018-09-14,8052.KL,1.8
2024-03-07,8052.KL,4.0
2024-03-22,8079.KL,1.04
2024-06-24,8079.KL,1.5
2017-09-13,8273.KL,1.71428571
2022-06-15,8273.KL,1.4
2017-08-29,8397.KL,1.02
2024-11-26,8397.KL,1.025
2019-05-06,8419.KL,1.5
2019-01-17,8435.KL,1.66666667
2017-10-17,8443.KL,1.2
2018-05-02,8494.KL,1.04
2019-06-19,8494.KL,1.2
2021-12-30,8494.KL,1.035
2018-10-16,8524.KL,1.66666667
2017-03-28,8532.KL,0.2
2017-06-28,8567.KL,1.05555556
2018-07-12,8567.KL,1.25
2019-06-27,8567.KL,1.03448276
2020-08-06,8567.KL,1.03448276
2021-06-29,8567.KL,1.02222222
2022-06-29,8567.KL,1.025
2023-05-09,8567.KL,1.025
2018-10-04,8605.KL,1.02
2019-11-26,8605.KL,1.02
2021-12-23,8605.KL,1.01
2016-11-04,8869.KL,2.0
2021-04-19,8869.KL,2.0
2017-02-23,8877.KL,2.5
2025-04-24,8907.KL,2.0
2021-06-23,8966.KL,1.5
2022-11-03,9148.KL,4.0
2020-12-30,9237.KL,4.0
2016-11-23,9261.KL,2.0
2019-12-19,9288.KL,0.25
2021-01-25,9288.KL,1.08
2022-01-04,9296.KL,2.0
2024-09-24,9296.KL,2.0
2020-03-24,9318.KL,1.06666667
2021-08-26,9326.KL,1.75
2021-07-22,9369.KL,2.0
2016-10-12,9385.KL,5.0
2017-06-23,9423.KL,2.0
2022-11-07,9431.KL,4.0
2018-03-05,9601.KL,0.25
2023-07-28,9601.KL,0.25
2017-06-06,9679.KL,1.00606061
2019-06-17,9679.KL,1.02
2020-08-11,9679.KL,1.01
2021-06-29,9679.KL,1.01
2026-09-11,9687.KL,3.0
2017-06-22,9792.KL,1.71428571
2022-03-02,9822.KL,4.0
2021-08-11,9873.KL,1.6
2023-06-23,9873.KL,1.05
2017-10-19,9946.KL,4.0
2024-06-07,9954.KL,0.33333333
